Date,Time,TOTAL PEOPLE IN
2016-09-12,9:54:00,168
2016-09-12,9:55:00,168
2016-09-12,9:55:00,168
2016-09-12,9:55:00,168
2016-09-12,9:55:00,168
2016-09-12,9:56:00,168
2016-09-12,9:57:00,169
2016-09-12,9:58:00,169
2016-09-12,9:58:00,169
2016-09-12,9:58:00,169
2016-09-12,9:59:00,169
2016-09-12,9:59:00,169
2016-09-12,9:59:00,169
2016-09-12,10:00:00,169
2016-09-12,10:01:00,169
2016-09-12,10:01:00,169
2016-09-12,10:02:00,169
2016-09-12,10:02:00,169
2016-09-12,10:02:00,170
2016-09-12,10:02:00,170
2016-09-12,10:03:00,170
2016-09-12,10:03:00,171
2016-09-12,10:03:00,171
2016-09-12,10:04:00,171
2016-09-12,10:04:00,171
2016-09-12,10:04:00,171
2016-09-12,10:04:00,171
2016-09-12,10:04:00,171
2016-09-12,10:05:00,171
2016-09-12,10:05:00,171
2016-09-12,10:05:00,171
2016-09-12,10:06:00,171
2016-09-12,10:06:00,171
2016-09-12,10:06:00,171
2016-09-12,10:06:00,172
2016-09-12,10:06:00,172
2016-09-12,10:07:00,173
2016-09-12,10:07:00,173
2016-09-12,10:09:00,173
2016-09-12,10:10:00,173
2016-09-12,10:11:00,173
2016-09-12,10:12:00,174
2016-09-12,10:12:00,175
2016-09-12,10:13:00,175
2016-09-12,10:13:00,175
2016-09-12,10:14:00,175
2016-09-12,10:15:00,175
2016-09-12,10:15:00,175
2016-09-12,10:16:00,175
2016-09-12,10:16:00,175
2016-09-12,10:17:00,175
2016-09-12,10:17:00,175
2016-09-12,10:18:00,175
2016-09-12,10:18:00,175
2016-09-12,10:18:00,176
2016-09-12,10:18:00,176
2016-09-12,10:20:00,177
2016-09-12,10:20:00,178
2016-09-12,10:21:00,178
2016-09-12,10:22:00,178
2016-09-12,10:22:00,179
2016-09-12,10:22:00,179
2016-09-12,10:23:00,179
2016-09-12,10:24:00,179
2016-09-12,10:24:00,179
2016-09-12,10:24:00,179
2016-09-12,10:24:00,179
2016-09-12,10:24:00,179
2016-09-12,10:25:00,179
2016-09-12,10:25:00,179
2016-09-12,10:25:00,180
2016-09-12,10:26:00,180
2016-09-12,10:27:00,180
2016-09-12,10:27:00,180
2016-09-12,10:27:00,180
2016-09-12,10:28:00,179
2016-09-12,10:28:00,178
2016-09-12,10:28:00,177
2016-09-12,10:28:00,177
2016-09-12,10:29:00,177
2016-09-12,10:29:00,177
2016-09-12,10:29:00,177
2016-09-12,10:29:00,177
2016-09-12,10:29:00,177
2016-09-12,10:29:00,178
2016-09-12,10:29:00,178
2016-09-12,10:30:00,178
2016-09-12,10:30:00,179
2016-09-12,10:30:00,179
2016-09-12,10:30:00,180
2016-09-12,10:30:00,180
2016-09-12,10:31:00,180
2016-09-12,10:31:00,180
2016-09-12,10:31:00,180
2016-09-12,10:33:00,180
2016-09-12,10:34:00,180
2016-09-12,10:34:00,181
2016-09-12,10:35:00,181
2016-09-12,10:36:00,181
2016-09-12,10:36:00,181
2016-09-12,10:36:00,180
2016-09-12,10:36:00,179
2016-09-12,10:36:00,178
2016-09-12,10:36:00,177
2016-09-12,10:36:00,178
2016-09-12,10:36:00,177
2016-09-12,10:37:00,176
2016-09-12,10:38:00,176
2016-09-12,10:38:00,176
2016-09-12,10:39:00,176
2016-09-12,10:39:00,177
2016-09-12,10:39:00,177
2016-09-12,10:39:00,177
2016-09-12,10:39:00,177
2016-09-12,10:40:00,177
2016-09-12,10:42:00,177
2016-09-12,10:43:00,177
2016-09-12,10:43:00,177
2016-09-12,10:43:00,176
2016-09-12,10:44:00,177
2016-09-12,10:45:00,177
2016-09-12,10:45:00,177
2016-09-12,10:45:00,177
2016-09-12,10:46:00,178
2016-09-12,10:46:00,178
2016-09-12,10:46:00,178
2016-09-12,10:46:00,178
2016-09-12,10:46:00,178
2016-09-12,10:47:00,178
2016-09-12,10:47:00,178
2016-09-12,10:48:00,178
2016-09-12,10:48:00,177
2016-09-12,10:49:00,177
2016-09-12,10:50:00,177
2016-09-12,10:50:00,177
2016-09-12,10:50:00,177
2016-09-12,10:51:00,177
2016-09-12,10:51:00,177
2016-09-12,10:51:00,177
2016-09-12,10:53:00,177
2016-09-12,10:53:00,177
2016-09-12,10:53:00,177
2016-09-12,10:54:00,177
2016-09-12,10:54:00,177
2016-09-12,10:54:00,177
2016-09-12,10:54:00,177
2016-09-12,10:55:00,177
2016-09-12,10:57:00,177
2016-09-12,10:57:00,177
2016-09-12,10:58:00,177
2016-09-12,10:58:00,176
2016-09-12,10:58:00,176
2016-09-12,10:58:00,176
2016-09-12,10:58:00,177
2016-09-12,10:58:00,177
2016-09-12,10:58:00,177
2016-09-12,10:58:00,177
2016-09-12,10:58:00,178
2016-09-12,10:59:00,178
2016-09-12,10:59:00,178
2016-09-12,10:59:00,178
2016-09-12,10:59:00,179
2016-09-12,10:59:00,179
2016-09-12,10:59:00,179
2016-09-12,10:59:00,179
2016-09-12,10:59:00,179
2016-09-12,11:00:00,179
2016-09-12,11:00:00,179
2016-09-12,11:00:00,179
2016-09-12,11:00:00,179
2016-09-12,11:02:00,179
2016-09-12,11:03:00,178
2016-09-12,11:03:00,178
2016-09-12,11:03:00,179
2016-09-12,11:04:00,179
2016-09-12,11:04:00,179
2016-09-12,11:05:00,178
2016-09-12,11:05:00,177
2016-09-12,11:05:00,178
2016-09-12,11:05:00,178
2016-09-12,11:05:00,178
2016-09-12,11:06:00,177
2016-09-12,11:06:00,177
2016-09-12,11:06:00,177
2016-09-12,11:06:00,177
2016-09-12,11:06:00,178
2016-09-12,11:07:00,177
2016-09-12,11:07:00,177
2016-09-12,11:07:00,177
2016-09-12,11:07:00,178
2016-09-12,11:07:00,178
2016-09-12,11:07:00,178
2016-09-12,11:07:00,178
2016-09-12,11:08:00,179
2016-09-12,11:08:00,179
2016-09-12,11:08:00,180
2016-09-12,11:08:00,181
2016-09-12,11:08:00,182
2016-09-12,11:08:00,183
2016-09-12,11:08:00,183
2016-09-12,11:08:00,183
2016-09-12,11:08:00,184
2016-09-12,11:08:00,184
2016-09-12,11:08:00,185
2016-09-12,11:08:00,185
2016-09-12,11:09:00,186
2016-09-12,11:09:00,187
2016-09-12,11:09:00,188
2016-09-12,11:09:00,188
2016-09-12,11:09:00,189
2016-09-12,11:09:00,190
2016-09-12,11:09:00,190
2016-09-12,11:09:00,191
2016-09-12,11:09:00,191
2016-09-12,11:09:00,191
2016-09-12,11:10:00,190
2016-09-12,11:10:00,190
2016-09-12,11:10:00,190
2016-09-12,11:10:00,190
2016-09-12,11:11:00,190
2016-09-12,11:11:00,190
2016-09-12,11:11:00,191
2016-09-12,11:11:00,192
2016-09-12,11:11:00,193
2016-09-12,11:11:00,194
2016-09-12,11:11:00,195
2016-09-12,11:11:00,196
2016-09-12,11:11:00,196
2016-09-12,11:11:00,196
2016-09-12,11:12:00,196
2016-09-12,11:12:00,196
2016-09-12,11:12:00,196
2016-09-12,11:13:00,197
2016-09-12,11:13:00,197
2016-09-12,11:13:00,196
2016-09-12,11:13:00,195
2016-09-12,11:13:00,194
2016-09-12,11:14:00,194
2016-09-12,11:14:00,194
2016-09-12,11:14:00,194
2016-09-12,11:14:00,195
2016-09-12,11:14:00,195
2016-09-12,11:15:00,195
